,location,tweetid,timestamp,retweetcount,text,hashtags
1912,Metaverse,1553938568933826561,2022-08-01 03:00:00,0,"There are #tensions going on...
#China, #Taiwan , #monkeypox , and #COVID19 .... maybe we will see the next up cycle of the #Crypto Market 🚀 https://t.co/k9vA7oZq0a","[{'text': 'tensions', 'indices': [10, 19]}, {'text': 'China', 'indices': [32, 38]}, {'text': 'Taiwan', 'indices': [40, 47]}, {'text': 'monkeypox', 'indices': [50, 60]}, {'text': 'COVID19', 'indices': [67, 75]}, {'text': 'Crypto', 'indices': [124, 131]}]"
1913,Earth,1553938572289376259,2022-08-01 03:00:01,2,"For the first time since April over 12,000 new #COVID-19 #coronavirus incidences reported in #Russia ... 

| #SARSCoV2 | #infections | #PublicHealth | #COVID19 | #pandemic | Via @RFERL 

https://t.co/jC1OzHD0mS","[{'text': 'COVID', 'indices': [47, 53]}, {'text': 'coronavirus', 'indices': [57, 69]}, {'text': 'Russia', 'indices': [93, 100]}, {'text': 'SARSCoV2', 'indices': [109, 118]}, {'text': 'infections', 'indices': [121, 132]}, {'text': 'PublicHealth', 'indices': [135, 148]}, {'text': 'COVID19', 'indices': [151, 159]}, {'text': 'pandemic', 'indices': [162, 171]}]"
1914,Ukraine,1553938577104310272,2022-08-01 03:00:02,0,"Animal shelter Dogs and Cats, we need your help!
Raising funds food for animals.
PayPal: dogandcat.helper@gmail.com
https://t.co/Z3re0ILu76
https://t.co/I9dbwRJ47y
https://t.co/71pErLQWdp

#Ukraine #Patreon #dogsoftwitter #Shelter #Dogs #Cats #Cute #Pets #Funny
#Dogsarefamily https://t.co/WFDpy5ue8R","[{'text': 'Ukraine', 'indices': [189, 197]}, {'text': 'Patreon', 'indices': [198, 206]}, {'text': 'dogsoftwitter', 'indices': [207, 221]}, {'text': 'Shelter', 'indices': [222, 230]}, {'text': 'Dogs', 'indices': [231, 236]}, {'text': 'Cats', 'indices': [237, 242]}, {'text': 'Cute', 'indices': [243, 248]}, {'text': 'Pets', 'indices': [249, 254]}, {'text': 'Funny', 'indices': [255, 261]}, {'text': 'Dogsarefamily', 'indices': [262, 276]}]"
1915,"Beijing, China",1553938581042802688,2022-08-01 03:00:03,0,"For the second half of 2022, #China will consolidate the upward trend of #economic recovery, keep #employment and #prices stable, keep the economy running within an appropriate range, and strive for the best possible outcome. https://t.co/o4SzKXtMdM https://t.co/HqGKVJfDyO","[{'text': 'China', 'indices': [29, 35]}, {'text': 'economic', 'indices': [73, 82]}, {'text': 'employment', 'indices': [98, 109]}, {'text': 'prices', 'indices': [114, 121]}]"
1916,"Olympia, Washington State",1553938582347423744,2022-08-01 03:00:03,0,"#Washington is the Problem, Not the Solution: Why Mahmoud Abbas is Seeking New ‘Powerful’ Sponsors 

Read the latest editorial by 
@RamzyBaroud
 ➡️ https://t.co/uxgHmARdRc… via 
@PalestineChron
 
#UnitedStates #Palestine #politics #China #Russia https://t.co/EPsN4xrgPh","[{'text': 'Washington', 'indices': [0, 11]}, {'text': 'UnitedStates', 'indices': [196, 209]}, {'text': 'Palestine', 'indices': [210, 220]}, {'text': 'politics', 'indices': [221, 230]}, {'text': 'China', 'indices': [231, 237]}, {'text': 'Russia', 'indices': [238, 245]}]"
1917,Sri Lanka,1553938586398969857,2022-08-01 03:00:04,0,"🇷🇸 🇽🇰 The north of #Kosovo and #Metohija.

The sirens do not stop, but there is no panic among the population https://t.co/aFNcA87vq5","[{'text': 'Kosovo', 'indices': [19, 26]}, {'text': 'Metohija', 'indices': [31, 40]}]"
1918,Uganda,1553938587393167367,2022-08-01 03:00:04,0,"@usmissionuganda @CDCgov @MinofHealthUG @USAmbUganda Please in order for you guys to save our world, cooperate genuinely with the majority of the people in #Uganda who love democracy.Tell your friend #UK to stop the hypocrisy.Even through democracy you can get what you need and we too can benefit. Do it like for #Ukraine. #Kunga https://t.co/kWeYfMi3b6","[{'text': 'Uganda', 'indices': [156, 163]}, {'text': 'UK', 'indices': [200, 203]}, {'text': 'Ukraine', 'indices': [314, 322]}, {'text': 'Kunga', 'indices': [324, 330]}]"
1919,on Twitter since 2006,1553938587984470018,2022-08-01 03:00:04,0,Ukraine’s military destroys 4 ammunition depots in southern Ukraine. https://t.co/LdvHZNIYMe - source :  #WarInUkraine #StandWithUkraine,"[{'text': 'WarInUkraine', 'indices': [105, 118]}, {'text': 'StandWithUkraine', 'indices': [119, 136]}]"
1920,Sunny Florida ,1553938591272796171,2022-08-01 03:00:05,0,@LouiseMensch @BobSkylstad @copesint @GoatlockerChief @SirEddieTemple @Kama_Kamilia @uweplus @sskyrius @NATO @SpiesVespers @Gerashchenko_en @olex_scherba You have no idea wtf you're talking about though. That's the truth. You're a Russian troll. I wasn't sure before but it's pretty damn clear now and every single one of your followers needs to know that. All you do is spread misinformation. #WeAreNAFO #Fellas #SlavaUkraini https://t.co/S8pFLGYATX,"[{'text': 'WeAreNAFO', 'indices': [394, 404]}, {'text': 'Fellas', 'indices': [405, 412]}, {'text': 'SlavaUkraini', 'indices': [413, 426]}]"
1921,,1553938597773975552,2022-08-01 03:00:07,1,#Trump Sides with #Russia Over #BrittneyGriner https://t.co/bhlKNyo9NL,"[{'text': 'Trump', 'indices': [0, 6]}, {'text': 'Russia', 'indices': [18, 25]}, {'text': 'BrittneyGriner', 'indices': [31, 46]}]"
1922,India,1553938619722637312,2022-08-01 03:00:12,1,"The Foreign Minister expressed his deep appreciation for Russia's support towards Sri Lanka in bilateral and multilateral fora
#SriLankaCrisis #Russia #SriLanka 

https://t.co/ldPmWvepy8","[{'text': 'SriLankaCrisis', 'indices': [127, 142]}, {'text': 'Russia', 'indices': [143, 150]}, {'text': 'SriLanka', 'indices': [151, 160]}]"
1923,"Maryland, USA",1553938623363440640,2022-08-01 03:00:13,0,"@mmpadellan With you showing the #Ukraine flag shows that you are a disgrace to yourself and others around you! You are a follower and not a leader.  You follow the #narrative! Its obvious that you QI IS A NEGATIVE 0,YOU HAVE NO #IQ! TYPICAL TRASH!","[{'text': 'Ukraine', 'indices': [33, 41]}, {'text': 'narrative', 'indices': [165, 175]}, {'text': 'IQ', 'indices': [229, 232]}]"
1924,"Beijing, China",1553938626504888320,2022-08-01 03:00:13,0,"Recently, the #Lushan Mountain scenic spot in Jiujiang city, east #China’s Jiangxi Province came up with an innovative way of treating #tree injuries - painting cute animals over the damaged areas.
Read full: https://t.co/NRHMlRoAZR https://t.co/2YJ3ryds6f","[{'text': 'Lushan', 'indices': [14, 21]}, {'text': 'China', 'indices': [66, 72]}, {'text': 'tree', 'indices': [135, 140]}]"
1925,"London, England",1553938634822356995,2022-08-01 03:00:15,0,#Russia willing to #tradeusingrubles and #Mozambique #meticais - #africa #trade #forex #economy https://t.co/Sp5BDbZFvE,"[{'text': 'Russia', 'indices': [0, 7]}, {'text': 'tradeusingrubles', 'indices': [19, 36]}, {'text': 'Mozambique', 'indices': [41, 52]}, {'text': 'meticais', 'indices': [53, 62]}, {'text': 'africa', 'indices': [65, 72]}, {'text': 'trade', 'indices': [73, 79]}, {'text': 'forex', 'indices': [80, 86]}, {'text': 'economy', 'indices': [87, 95]}]"
1926,"London, England",1553938653633708032,2022-08-01 03:00:20,0,#Russia willing to #tradeusingrubles and #Mozambique #meticais - #africa #trade #forex #economy https://t.co/a7mz2SkOAp,"[{'text': 'Russia', 'indices': [0, 7]}, {'text': 'tradeusingrubles', 'indices': [19, 36]}, {'text': 'Mozambique', 'indices': [41, 52]}, {'text': 'meticais', 'indices': [53, 62]}, {'text': 'africa', 'indices': [65, 72]}, {'text': 'trade', 'indices': [73, 79]}, {'text': 'forex', 'indices': [80, 86]}, {'text': 'economy', 'indices': [87, 95]}]"
1927,,1553938664287117312,2022-08-01 03:00:23,0,"Wherever the United States goes, there will be chaos, the source of chaos.
#Kosovo #Serbia https://t.co/gmM98OnNMM","[{'text': 'Kosovo', 'indices': [75, 82]}, {'text': 'Serbia', 'indices': [83, 90]}]"
1928,"London, UK",1553938675586711554,2022-08-01 03:00:25,0,#Russia willing to #tradeusingrubles and #Mozambique #meticais - #africa #trade #forex #economy https://t.co/91e8E3u3eb,"[{'text': 'Russia', 'indices': [0, 7]}, {'text': 'tradeusingrubles', 'indices': [19, 36]}, {'text': 'Mozambique', 'indices': [41, 52]}, {'text': 'meticais', 'indices': [53, 62]}, {'text': 'africa', 'indices': [65, 72]}, {'text': 'trade', 'indices': [73, 79]}, {'text': 'forex', 'indices': [80, 86]}, {'text': 'economy', 'indices': [87, 95]}]"
1929,,1553938683312705537,2022-08-01 03:00:27,4,"#Russia is not a country, it is a mental state.
#NAFO #UkraineWillWin https://t.co/AqjlEFNTwB","[{'text': 'Russia', 'indices': [0, 7]}, {'text': 'NAFO', 'indices': [48, 53]}, {'text': 'UkraineWillWin', 'indices': [54, 69]}]"
1930,"London, England",1553938694406656001,2022-08-01 03:00:30,0,#Russia willing to #tradeusingrubles and #Mozambique #meticais - #africa #trade #forex #economy https://t.co/OXfA3oJhlk,"[{'text': 'Russia', 'indices': [0, 7]}, {'text': 'tradeusingrubles', 'indices': [19, 36]}, {'text': 'Mozambique', 'indices': [41, 52]}, {'text': 'meticais', 'indices': [53, 62]}, {'text': 'africa', 'indices': [65, 72]}, {'text': 'trade', 'indices': [73, 79]}, {'text': 'forex', 'indices': [80, 86]}, {'text': 'economy', 'indices': [87, 95]}]"
1931,sweden ♡ ,1553938705349591041,2022-08-01 03:00:32,0,@zerohedge These are hoax wars to control economy and humanity! Be careful about chinese government!! They locked up their citizens for hoax zionist covid lies!  Be aware. #china #russia #taiwan @mfa_russia @RusEmbTurkey #Ukraine,"[{'text': 'china', 'indices': [172, 178]}, {'text': 'russia', 'indices': [179, 186]}, {'text': 'taiwan', 'indices': [187, 194]}, {'text': 'Ukraine', 'indices': [221, 229]}]"
1932,Hong Kong,1553938707459317760,2022-08-01 03:00:33,1,"A ‘truly addictive’ ride: China rekindles love for cycling in time of Covid #China #china #bicycles #cycling 
https://t.co/zBfktklUCP https://t.co/vUUWTmpQie","[{'text': 'China', 'indices': [76, 82]}, {'text': 'china', 'indices': [83, 89]}, {'text': 'bicycles', 'indices': [90, 99]}, {'text': 'cycling', 'indices': [100, 108]}]"
1933,,1553938710047211520,2022-08-01 03:00:33,0,#Russia willing to #tradeusingrubles and #Mozambique #meticais - #africa #trade #forex #economy https://t.co/i3LYuOEfzH,"[{'text': 'Russia', 'indices': [0, 7]}, {'text': 'tradeusingrubles', 'indices': [19, 36]}, {'text': 'Mozambique', 'indices': [41, 52]}, {'text': 'meticais', 'indices': [53, 62]}, {'text': 'africa', 'indices': [65, 72]}, {'text': 'trade', 'indices': [73, 79]}, {'text': 'forex', 'indices': [80, 86]}, {'text': 'economy', 'indices': [87, 95]}]"
