,location,tweetid,timestamp,retweetcount,text,hashtags
3472,"Eugene, OR",1553968770007257088,2022-08-01 05:00:00,0,"7/27 thru 7/31, *Prodigal Human: The Descents of Man* by Michael Adzema is free

2 HOURS REMAINING

Free,right now. Click link. See $0.00 to buy, click “Buy now…” It’s yours

https://t.co/IMTtvRtPA0 #FBR #eco #Earth #psych #primal #devo #climate #psychology #Gaia #Rainbow #war","[{'text': 'FBR', 'indices': [199, 203]}, {'text': 'eco', 'indices': [204, 208]}, {'text': 'Earth', 'indices': [209, 215]}, {'text': 'psych', 'indices': [216, 222]}, {'text': 'primal', 'indices': [223, 230]}, {'text': 'devo', 'indices': [231, 236]}, {'text': 'climate', 'indices': [237, 245]}, {'text': 'psychology', 'indices': [246, 257]}, {'text': 'Gaia', 'indices': [258, 263]}, {'text': 'Rainbow', 'indices': [264, 272]}, {'text': 'war', 'indices': [273, 277]}]"
3473,Ukraine,1553968770716147713,2022-08-01 05:00:00,0,"Animal shelter Dogs and Cats, we need your help!
Raising funds food for animals.
PayPal: dogandcat.helper@gmail.com
https://t.co/Z3re0ItTfy
https://t.co/I9dbwRrtg0
https://t.co/71pErM8xBZ

#Ukraine #Patreon #dogsoftwitter #Shelter #Dogs #Cats #Cute #Pets #Funny
#Dogsarefamily https://t.co/T89xDpWFFn","[{'text': 'Ukraine', 'indices': [189, 197]}, {'text': 'Patreon', 'indices': [198, 206]}, {'text': 'dogsoftwitter', 'indices': [207, 221]}, {'text': 'Shelter', 'indices': [222, 230]}, {'text': 'Dogs', 'indices': [231, 236]}, {'text': 'Cats', 'indices': [237, 242]}, {'text': 'Cute', 'indices': [243, 248]}, {'text': 'Pets', 'indices': [249, 254]}, {'text': 'Funny', 'indices': [255, 261]}, {'text': 'Dogsarefamily', 'indices': [262, 276]}]"
3474,Near by,1553968789531885573,2022-08-01 05:00:05,0,"NAZI NATO Ready to do what they do best
#Serbia https://t.co/ZWkDrf3Mab https://t.co/f4rlef94f4","[{'text': 'Serbia', 'indices': [40, 47]}]"
3475,on Twitter since 2006,1553968793310957570,2022-08-01 05:00:06,1,Institute for the Study of War: Russian forces resume ground attacks in eastern Ukraine. https://t.co/B181zvDcJV - source :  #WarInUkraine #StandWithUkraine,"[{'text': 'WarInUkraine', 'indices': [125, 138]}, {'text': 'StandWithUkraine', 'indices': [139, 156]}]"
3476,,1553968812147474433,2022-08-01 05:00:10,0,The US Cybersecurity and Infrastructure Security Agency (@CISAgov) and the Ukrainian State Service of Special Communications and Information Protection of #Ukraine (SSSCIP) have announced the signing of a memorandum of cooperation (MOC). 🔐 https://t.co/9Jbmcl6KxT,"[{'text': 'Ukraine', 'indices': [155, 163]}]"
3477,,1553968814731165697,2022-08-01 05:00:11,0,"If you don’t like mondays, change your job #BBNaija7 #TREASURE #Serbia","[{'text': 'BBNaija7', 'indices': [43, 52]}, {'text': 'TREASURE', 'indices': [53, 62]}, {'text': 'Serbia', 'indices': [63, 70]}]"
3478,,1553968818107596801,2022-08-01 05:00:12,5,"“#putin’s aim is to expand the conflict in other parts of the world, his aim has constantly been to destabilize Europe, we can expect that one of his targets might be the Western Balkans.”

– Russia’s war in #Ukraine finds echoes in the #Balkans

https://t.co/G89Ob7wKi1","[{'text': 'putin', 'indices': [1, 7]}, {'text': 'Ukraine', 'indices': [208, 216]}, {'text': 'Balkans', 'indices': [237, 245]}]"
3479,"Dhaka, Bangladesh",1553968825682792448,2022-08-01 05:00:14,0,. @OPECSecretariat  secretary general says #Russia's membership in @OPECSecretariat + is vital for success of agreement https://t.co/SLsE4dw2rj,"[{'text': 'Russia', 'indices': [43, 50]}]"
3480,"North Carolina, USA",1553968830283743232,2022-08-01 05:00:15,0,"I am speechless, this is too far, wayyy to far! Between this blasphemous s*** and the golden statue they had at CPAC 2021, if I had to guess he’s top pick for the Antichrist. #BlueCrew  #Jesus #HellNo #ChristianNationalists #VoteBlue2022 https://t.co/OhG5DBawpI","[{'text': 'BlueCrew', 'indices': [175, 184]}, {'text': 'Jesus', 'indices': [186, 192]}, {'text': 'HellNo', 'indices': [193, 200]}, {'text': 'ChristianNationalists', 'indices': [201, 223]}, {'text': 'VoteBlue2022', 'indices': [224, 237]}]"
3481,,1553968830468308993,2022-08-01 05:00:15,1,"Hello, Kuala Lumpur
We are available now in Malaysia.

#RSRVIT #Restaurants #Dubai #abudhabi #kyiv #bali #hongKong #KualaLumpur #Malaysia https://t.co/WYoloJYB1d","[{'text': 'RSRVIT', 'indices': [55, 62]}, {'text': 'Restaurants', 'indices': [63, 75]}, {'text': 'Dubai', 'indices': [76, 82]}, {'text': 'abudhabi', 'indices': [83, 92]}, {'text': 'kyiv', 'indices': [93, 98]}, {'text': 'bali', 'indices': [99, 104]}, {'text': 'hongKong', 'indices': [105, 114]}, {'text': 'KualaLumpur', 'indices': [115, 127]}, {'text': 'Malaysia', 'indices': [128, 137]}]"
3482,US left coast,1553968839934676992,2022-08-01 05:00:17,2,"@OlenaHalushka @officejjsmart @SMatviienko #russiaisaterrorisstate   Expel the embassy staff in all NATO nations, seize assets, more HIMARS and deliver long range weapons.  I’m contacting my senators to give my opinion!","[{'text': 'russiaisaterrorisstate', 'indices': [43, 66]}]"
3483,"London, England",1553968885539430400,2022-08-01 05:00:28,0,@Ukraine66251776 Russian bot active... #StopRussiaNow #ArmUkraineNow #Russiandisinformation #NAFOfellas https://t.co/uw0a8Hv5le,"[{'text': 'StopRussiaNow', 'indices': [39, 53]}, {'text': 'ArmUkraineNow', 'indices': [54, 68]}, {'text': 'Russiandisinformation', 'indices': [69, 91]}, {'text': 'NAFOfellas', 'indices': [92, 103]}]"
3484,"San Luis Obispo, California",1553968926974889985,2022-08-01 05:00:38,0,"💙💛Kherson ❤️
#UkraineWillWin,#UkraineWar,#UkraineRussiaWar,#Ukrainians,#UkrainianArmy,#Azovstal,#Mariupol,#Ukrainian,#Україна,#StandWithUkraine,#UkrainianPOW,#Ukraine,#SlavaUkraini,#UkraineWarNews,#ArmUkraineNow,#Olenivka 🌻Together 4 Victory🇺🇦🇺🇸🇬🇧🇪🇺 https://t.co/qSnOVPa5ll","[{'text': 'UkraineWillWin', 'indices': [13, 28]}, {'text': 'UkraineWar', 'indices': [29, 40]}, {'text': 'UkraineRussiaWar', 'indices': [41, 58]}, {'text': 'Ukrainians', 'indices': [59, 70]}, {'text': 'UkrainianArmy', 'indices': [71, 85]}, {'text': 'Azovstal', 'indices': [86, 95]}, {'text': 'Mariupol', 'indices': [96, 105]}, {'text': 'Ukrainian', 'indices': [106, 116]}, {'text': 'Україна', 'indices': [117, 125]}, {'text': 'StandWithUkraine', 'indices': [126, 143]}, {'text': 'UkrainianPOW', 'indices': [144, 157]}, {'text': 'Ukraine', 'indices': [158, 166]}, {'text': 'SlavaUkraini', 'indices': [167, 180]}, {'text': 'UkraineWarNews', 'indices': [181, 196]}, {'text': 'ArmUkraineNow', 'indices': [197, 211]}, {'text': 'Olenivka', 'indices': [212, 221]}]"
