,location,tweetid,timestamp,retweetcount,text,hashtags
2651,"Washington, DC",1553953669720129537,2022-08-01 04:00:00,4,#China assumes a month-long presidency of United Nations Security Council for August. #UNSC,"[{'text': 'China', 'indices': [0, 6]}, {'text': 'UNSC', 'indices': [86, 91]}]"
2652,"Tainan, Taiwan",1553953669770625025,2022-08-01 04:00:00,0,"One more family member in oceanrich.
Have you guys ever seen an airtight jar that could be written?
Only OCEANRICH SEALED JAR can do it!
Besides making some notes, we could also
Help you to pass the unspeakable words in mind.
#coffeemaker #grinder #coffee #tea #Taiwan https://t.co/zzsRfnL76U","[{'text': 'coffeemaker', 'indices': [226, 238]}, {'text': 'grinder', 'indices': [239, 247]}, {'text': 'coffee', 'indices': [248, 255]}, {'text': 'tea', 'indices': [256, 260]}, {'text': 'Taiwan', 'indices': [261, 268]}]"
2653,Ukraine,1553953669883863040,2022-08-01 04:00:00,2,"Animal shelter Dogs and Cats, we need your help!
Raising funds food for animals.
PayPal: dogandcat.helper@gmail.com
https://t.co/Z3re0ItTfy
https://t.co/I9dbwRrtg0
https://t.co/71pErM8xBZ

#Ukraine #Patreon #dogsoftwitter #Shelter #Dogs #Cats #Cute #Pets #Funny
#Dogsarefamily https://t.co/7IwnIgKUWx","[{'text': 'Ukraine', 'indices': [189, 197]}, {'text': 'Patreon', 'indices': [198, 206]}, {'text': 'dogsoftwitter', 'indices': [207, 221]}, {'text': 'Shelter', 'indices': [222, 230]}, {'text': 'Dogs', 'indices': [231, 236]}, {'text': 'Cats', 'indices': [237, 242]}, {'text': 'Cute', 'indices': [243, 248]}, {'text': 'Pets', 'indices': [249, 254]}, {'text': 'Funny', 'indices': [255, 261]}, {'text': 'Dogsarefamily', 'indices': [262, 276]}]"
2654,,1553953670005415936,2022-08-01 04:00:00,396,"In #Kherson region, unknown people blew up the car of Yefimenko Vitaliy, a local criminal authority nicknamed Yefim, who had been closely cooperating with the occupiers and threatened pro-#Ukrainian residents of the region. https://t.co/JRY68TGUtl","[{'text': 'Kherson', 'indices': [3, 11]}, {'text': 'Ukrainian', 'indices': [188, 198]}]"
2655,,1553953673113395200,2022-08-01 04:00:01,0,"China's economy has been on the precipice of change - the pandemic was the final push to initiate it. Article by Gilles Guiheux, Ke Huang, and Renyou Hou of Université Paris Cité. https://t.co/XTQ1P2MYhz #china #economy https://t.co/IrzthPJXiq","[{'text': 'china', 'indices': [204, 210]}, {'text': 'economy', 'indices': [211, 219]}]"
2656,"London, UK",1553953680818331648,2022-08-01 04:00:03,0,"#NFTs are here to help the public. With the ongoing troubles in #Ukraine, utilizing NFT sales to fund restoration is more than necessary. @Cointelegraph https://t.co/xFp0MD98cb","[{'text': 'NFTs', 'indices': [0, 5]}, {'text': 'Ukraine', 'indices': [64, 72]}]"
2657,,1553953681116127237,2022-08-01 04:00:03,0,Expat game changers: She donated four apartments to refugees amid a housing crisis via @expatscz https://t.co/KBlOwWL0wf #expats #AmericansAbroad #AmericansOverseas #ExpatStories #Ukraine https://t.co/VUkjLGLjR9,"[{'text': 'expats', 'indices': [121, 128]}, {'text': 'AmericansAbroad', 'indices': [129, 145]}, {'text': 'AmericansOverseas', 'indices': [146, 164]}, {'text': 'ExpatStories', 'indices': [165, 178]}, {'text': 'Ukraine', 'indices': [179, 187]}]"
2658,,1553953689185951745,2022-08-01 04:00:05,0,"What makes hypersonic missiles special and why are they important to #Russia? @orko_8 explains.
Read full text
https://t.co/HsA71sT0tO https://t.co/QnH8UpTIpA","[{'text': 'Russia', 'indices': [69, 76]}]"
2659,"Kassel, Hesse, Germany",1553953690633080832,2022-08-01 04:00:05,0,"@GlobalLabourCol 📖 Movement-oriented #labour organizations in #China

 ✍️ Elaine Hui and Kaye Liang 

Read here ➡️https://t.co/zw8L6z8QvQ https://t.co/qLtUWucH6h","[{'text': 'labour', 'indices': [37, 44]}, {'text': 'China', 'indices': [62, 68]}]"
2660,on Twitter since 2006,1553953694730702848,2022-08-01 04:00:06,0,Anatoly Chubais https://t.co/PARfqauGZ4 - source : Josh Gold #WarInUkraine #StandWithUkraine,"[{'text': 'WarInUkraine', 'indices': [61, 74]}, {'text': 'StandWithUkraine', 'indices': [75, 92]}]"
2661,on Twitter since 2006,1553953696035344384,2022-08-01 04:00:06,0,Russia attacks more civilian than military targets since start of war. https://t.co/BBxqGbGIY8 - source :  #WarInUkraine #StandWithUkraine,"[{'text': 'WarInUkraine', 'indices': [107, 120]}, {'text': 'StandWithUkraine', 'indices': [121, 138]}]"
