tweetid,timestamp,text
1553908376697987072,2022-08-01 01:00:01,"Animal shelter Dogs and Cats, we need your help!
Raising funds food for animals.
PayPal: dogandcat.helper@gmail.com
https://t.co/Z3re0ItTfy
https://t.co/I9dbwRrtg0
https://t.co/71pErM8xBZ

#Ukraine #Patreon #dogsoftwitter #Shelter #Dogs #Cats #Cute #Pets #Funny
#Dogsarefamily https://t.co/iFb7grKHyw"
1553908376379072513,2022-08-01 01:00:01,"The financial challenges triggered by #COVID19 and war in #Ukraine are threatening the @UN response to #HIV and #AIDS.

🎧Listen to what @UNDP's @Mandeep_Dh has to say about the situation.⬇️

https://t.co/PijliL0x4B"
1553908379071918080,2022-08-01 01:00:02,You are truly disgusting for normally covering this country’s “heroes” while their government is committing #WarCrimes in #Ukraine 😡how much is #russianlobby paying your network😡 #StopPutin propaganda #RussiaIsATerrorristState cover @navalny ask @ekaramurza pastel colour 🇷🇺 https://t.co/vwu3XVVanN https://t.co/dpqeHvCk22
1553908389436166144,2022-08-01 01:00:04,Mayor: Explosions heard in Mykolaiv on Aug. 1. https://t.co/78cKswYJMW - source :  #WarInUkraine #StandWithUkraine
1553908418959642624,2022-08-01 01:00:11,"Goodnight - beware the collaborator posing as Centrist.

#SlavaUkraini  🇺🇦"
1553908420444569600,2022-08-01 01:00:12,German Government Approves Sale Of 100 PzH 2000 Howitzers To Ukraine #Ukraine #Kyiv #UkraineWar #Germany https://t.co/7HoQv0PCOj
1553908421568634880,2022-08-01 01:00:12,"🇨🇦An infestation of 🇷🇺 Useful Idiots.

#UkraineRussiaWar #Anonymous #FckPutin #StandWithUkraine #PutinIsaWarCriminal 
#RussianArmy #RussianInvasion #UkraineUnderAttaсk 
#РоссияСмотри #RussiaIsATerroristState #CancelRussia https://t.co/iLN9vLbvTg"
1553908430510899200,2022-08-01 01:00:14,North Macedonia Donates T-72 Tanks To Ukraine #Ukraine #UkraineWar #Macedonia https://t.co/dBEAebY5d7
1553908465415999488,2022-08-01 01:00:23,@es_funk_nicht @Evelyn__020 @christogrozev @EliotHiggins @NATO There is only one outcome after 30 years of missed chances to get thinks regarding #Russia right but it will not be what you are dreaming of...
1553908474479890435,2022-08-01 01:00:25,'Worse Than Azovstal': Relatives Of Ukrainian POWs At Olenivka Shine The Spotlight On 'Horrific' Conditions There https://t.co/zlH7ihkkcn #UkraineRussiaWar #UkraineUnderAttaсk #UkraineWar
